Loading Matrix-market coordinate-formatted graph ...
Reading from ../../../maps/gh009.mtx:
  Parsing MARKET COO format (16777216 nodes, 265114400 directed edges)... Done parsing (46s).
  Converting 16777216 vertices, 265114400 directed edges (unordered tuples) to CSR format...
Done converting (6s).

Degree Histogram (16777216 vertices, 265114400 edges):
    Degree   0: 1 (0.00%)
    Degree 2^0: 54 (0.00%)
    Degree 2^1: 2064 (0.01%)
    Degree 2^2: 190846 (1.14%)
    Degree 2^3: 7967474 (47.49%)
    Degree 2^4: 8612951 (51.34%)
    Degree 2^5: 3826 (0.02%)

Using 1 GPU: [ 0 ].
Using traversal mode LB
__________________________
0	 1056	 0	 queue3 	 oversize :	 20132661 ->	 20140531
0	 1057	 0	 queue3 	 oversize :	 20140531 ->	 20195233
0	 1058	 0	 queue3 	 oversize :	 20195233 ->	 20210291
0	 1059	 0	 queue3 	 oversize :	 20210291 ->	 20226676
0	 1060	 0	 queue3 	 oversize :	 20226676 ->	 20233802
0	 1061	 0	 queue3 	 oversize :	 20233802 ->	 20257073
0	 1062	 0	 queue3 	 oversize :	 20257073 ->	 20300228
0	 1063	 0	 queue3 	 oversize :	 20300228 ->	 20334044
0	 1064	 0	 queue3 	 oversize :	 20334044 ->	 20381541
0	 1066	 0	 queue3 	 oversize :	 20381541 ->	 20409050
0	 1067	 0	 queue3 	 oversize :	 20409050 ->	 20435203
0	 1068	 0	 queue3 	 oversize :	 20435203 ->	 20479638
0	 1070	 0	 queue3 	 oversize :	 20479638 ->	 20508832
0	 1071	 0	 queue3 	 oversize :	 20508832 ->	 20544407
0	 1072	 0	 queue3 	 oversize :	 20544407 ->	 20589066
0	 1073	 0	 queue3 	 oversize :	 20589066 ->	 20635714
0	 1074	 0	 queue3 	 oversize :	 20635714 ->	 20656413
0	 1075	 0	 queue3 	 oversize :	 20656413 ->	 20669448
0	 1076	 0	 queue3 	 oversize :	 20669448 ->	 20690689
0	 1078	 0	 queue3 	 oversize :	 20690689 ->	 20740846
0	 1079	 0	 queue3 	 oversize :	 20740846 ->	 20793948
0	 1080	 0	 queue3 	 oversize :	 20793948 ->	 20824407
0	 1081	 0	 queue3 	 oversize :	 20824407 ->	 20831209
0	 1082	 0	 queue3 	 oversize :	 20831209 ->	 20879035
0	 1083	 0	 queue3 	 oversize :	 20879035 ->	 20906260
0	 1084	 0	 queue3 	 oversize :	 20906260 ->	 20942738
0	 1085	 0	 queue3 	 oversize :	 20942738 ->	 20957436
0	 1086	 0	 queue3 	 oversize :	 20957436 ->	 20979994
0	 1087	 0	 queue3 	 oversize :	 20979994 ->	 21022216
0	 1088	 0	 queue3 	 oversize :	 21022216 ->	 21038395
0	 1089	 0	 queue3 	 oversize :	 21038395 ->	 21044466
0	 1090	 0	 queue3 	 oversize :	 21044466 ->	 21064447
0	 1091	 0	 queue3 	 oversize :	 21064447 ->	 21110306
0	 1092	 0	 queue3 	 oversize :	 21110306 ->	 21131208
0	 1093	 0	 queue3 	 oversize :	 21131208 ->	 21175951
0	 1094	 0	 queue3 	 oversize :	 21175951 ->	 21195602
0	 1095	 0	 queue3 	 oversize :	 21195602 ->	 21222766
0	 1096	 0	 queue3 	 oversize :	 21222766 ->	 21248304
0	 1097	 0	 queue3 	 oversize :	 21248304 ->	 21277662
0	 1098	 0	 queue3 	 oversize :	 21277662 ->	 21323205
0	 1099	 0	 queue3 	 oversize :	 21323205 ->	 21332138
0	 1100	 0	 queue3 	 oversize :	 21332138 ->	 21370406
0	 1101	 0	 queue3 	 oversize :	 21370406 ->	 21410550
0	 1102	 0	 queue3 	 oversize :	 21410550 ->	 21420765
0	 1103	 0	 queue3 	 oversize :	 21420765 ->	 21471851
0	 1104	 0	 queue3 	 oversize :	 21471851 ->	 21486441
0	 1105	 0	 queue3 	 oversize :	 21486441 ->	 21511509
0	 1106	 0	 queue3 	 oversize :	 21511509 ->	 21542120
0	 1107	 0	 queue3 	 oversize :	 21542120 ->	 21556970
0	 1110	 0	 queue3 	 oversize :	 21556970 ->	 21626125
0	 1111	 0	 queue3 	 oversize :	 21626125 ->	 21659682
0	 1112	 0	 queue3 	 oversize :	 21659682 ->	 21666425
0	 1113	 0	 queue3 	 oversize :	 21666425 ->	 21708596
0	 1114	 0	 queue3 	 oversize :	 21708596 ->	 21753549
0	 1115	 0	 queue3 	 oversize :	 21753549 ->	 21782531
0	 1116	 0	 queue3 	 oversize :	 21782531 ->	 21795524
0	 1117	 0	 queue3 	 oversize :	 21795524 ->	 21813661
0	 1118	 0	 queue3 	 oversize :	 21813661 ->	 21866360
0	 1119	 0	 queue3 	 oversize :	 21866360 ->	 21886356
0	 1120	 0	 queue3 	 oversize :	 21886356 ->	 21913008
0	 1121	 0	 queue3 	 oversize :	 21913008 ->	 21952377
0	 1122	 0	 queue3 	 oversize :	 21952377 ->	 22016201
0	 1123	 0	 queue3 	 oversize :	 22016201 ->	 22035989
0	 1124	 0	 queue3 	 oversize :	 22035989 ->	 22051620
0	 1125	 0	 queue3 	 oversize :	 22051620 ->	 22067973
0	 1126	 0	 queue3 	 oversize :	 22067973 ->	 22091280
0	 1127	 0	 queue3 	 oversize :	 22091280 ->	 22110123
0	 1128	 0	 queue3 	 oversize :	 22110123 ->	 22137755
0	 1129	 0	 queue3 	 oversize :	 22137755 ->	 22194716
0	 1130	 0	 queue3 	 oversize :	 22194716 ->	 22210184
0	 1131	 0	 queue3 	 oversize :	 22210184 ->	 22267327
0	 1132	 0	 queue3 	 oversize :	 22267327 ->	 22279930
0	 1133	 0	 queue3 	 oversize :	 22279930 ->	 22280008
0	 1134	 0	 queue3 	 oversize :	 22280008 ->	 22297424
0	 1135	 0	 queue3 	 oversize :	 22297424 ->	 22324652
0	 1136	 0	 queue3 	 oversize :	 22324652 ->	 22362477
0	 1137	 0	 queue3 	 oversize :	 22362477 ->	 22418361
0	 1138	 0	 queue3 	 oversize :	 22418361 ->	 22457083
0	 1139	 0	 queue3 	 oversize :	 22457083 ->	 22469967
0	 1140	 0	 queue3 	 oversize :	 22469967 ->	 22492467
